id,region,depth,substrate_type,structural_complexity,water_temperature,salinity,light_availability,coral_cover,algal_cover,marine_protection_status,proximity_to_human_activity,species_Porites,species_Favia,species_Stylophora,species_Acropora,species_Goniastrea,species_Montipora,species_Pocillopora,species_Montastraea,species_Orbicella,species_Siderastrea,species_Fungia
5953,Great Barrier Reef,23.8,Rocky,0.84,24.8,34.2,Low,63.9,17.5,MPA,73.0,1,0,0,0,0,1,0,0,0,0,0
5954,Great Barrier Reef,11.0,Rocky,0.78,24.6,34.9,Medium,64.6,29.6,MPA,94.4,1,0,0,0,1,1,0,0,0,0,0
5955,Great Barrier Reef,10.3,Sandy,0.71,28.1,34.3,Medium,60.0,12.9,MPA,126.0,1,0,0,0,1,0,0,0,0,0,0
5956,Red Sea,21.1,Rocky,0.76,26.3,40.0,Low,56.3,6.5,Unprotected,49.4,1,0,1,0,0,0,0,0,0,0,0
5957,Coral Triangle,8.4,Rocky,0.78,30.4,34.5,High,63.2,25.4,Unprotected,25.1,0,0,0,1,0,0,1,0,0,0,0
5958,Caribbean,11.0,Rubble,0.62,28.2,35.9,Medium,61.5,9.7,Unprotected,26.6,1,0,0,0,0,0,0,1,0,0,0
5959,Caribbean,20.1,Silty,0.6,28.2,34.8,Low,56.1,24.1,MPA,37.7,0,0,0,0,0,0,0,1,1,0,0
5960,Great Barrier Reef,32.8,Sandy,0.91,25.5,35.1,Low,61.7,16.1,MPA,86.3,1,0,0,0,0,1,0,0,0,0,0
5961,Caribbean,4.3,Silty,0.46,25.7,35.3,High,64.2,14.3,Unprotected,1.3,0,0,0,0,0,0,0,1,1,1,0
5962,Coral Triangle,36.5,Sandy,0.77,29.5,33.6,Low,55.7,24.6,Unprotected,36.5,1,0,0,0,0,0,1,0,0,0,0
5963,Coral Triangle,36.6,Sandy,0.84,30.1,33.6,Low,57.7,6.1,MPA,16.4,1,0,0,0,0,0,0,0,0,0,1
5964,Great Barrier Reef,10.2,Rocky,0.61,26.7,34.4,Medium,50.6,8.6,Unprotected,13.7,1,0,0,0,0,1,0,0,0,0,0
5965,Coral Triangle,13.3,Rocky,0.68,29.1,34.5,Medium,62.9,15.1,Unprotected,29.2,1,0,0,1,0,0,0,0,0,0,1
5966,Coral Triangle,37.8,Rubble,0.54,30.8,34.4,Low,55.0,22.7,MPA,21.5,1,0,0,0,0,0,1,0,0,0,0
5967,Great Barrier Reef,9.5,Rocky,0.64,25.3,34.2,High,78.9,16.0,MPA,67.1,0,0,0,1,0,0,0,0,0,0,0
5968,Red Sea,28.8,Rubble,0.5,29.0,40.8,Low,62.9,7.2,MPA,64.9,1,1,0,0,0,0,0,0,0,0,0
5969,Great Barrier Reef,17.3,Coralline,0.88,24.7,35.1,Medium,67.7,7.6,MPA,58.5,1,0,0,0,0,1,0,0,0,0,0
5970,Great Barrier Reef,9.7,Coralline,0.77,26.7,35.4,High,60.4,24.7,Unprotected,42.8,0,0,0,1,1,0,0,0,0,0,0
5971,Caribbean,3.9,Coralline,0.6,28.4,35.2,High,65.2,23.8,MPA,52.1,1,0,0,0,0,0,0,0,1,1,0
5972,Coral Triangle,11.3,Sandy,0.59,29.2,34.4,Medium,58.1,17.7,Unprotected,15.6,1,0,0,1,0,0,1,0,0,0,0
5973,Coral Triangle,31.2,Rubble,0.77,29.5,33.6,Low,55.6,23.3,Unprotected,33.5,1,0,0,0,0,0,1,0,0,0,0
5974,Red Sea,20.6,Rubble,0.72,26.0,41.0,Low,52.9,15.2,MPA,18.9,1,1,0,0,0,0,0,0,0,0,0
5975,Great Barrier Reef,2.6,Coralline,0.79,24.8,35.5,High,71.0,26.8,MPA,65.6,1,0,0,1,1,1,0,0,0,0,0
5976,Red Sea,25.4,Sandy,0.83,28.1,39.1,Low,64.1,18.9,Unprotected,25.2,0,1,0,0,0,0,0,0,0,0,0
5977,Red Sea,15.0,Rubble,0.6,29.0,40.6,Medium,60.3,21.3,Unprotected,43.1,1,1,1,0,0,0,0,0,0,0,0
5978,Great Barrier Reef,28.3,Sandy,0.65,26.4,35.1,Low,60.1,14.7,MPA,43.1,1,0,0,0,1,0,0,0,0,0,0
5979,Red Sea,23.4,Rubble,0.6,27.7,40.6,Low,51.8,22.4,Unprotected,37.0,0,1,1,0,0,0,0,0,0,0,0
5980,Red Sea,16.9,Rocky,0.74,29.3,40.3,Medium,70.4,12.7,Unprotected,48.2,1,0,0,0,0,0,0,0,0,0,0
5981,Caribbean,7.5,Coralline,0.49,25.8,34.5,High,62.3,11.1,MPA,17.4,0,0,0,0,0,0,0,1,1,1,0
5982,Coral Triangle,35.1,Rocky,0.75,28.0,34.2,Low,67.8,29.6,MPA,69.8,1,0,0,0,0,0,1,0,0,0,1
5983,Caribbean,5.4,Coralline,0.62,25.4,34.8,High,70.5,18.9,Unprotected,6.0,0,0,0,0,0,0,0,0,1,1,0
5984,Coral Triangle,1.2,Sandy,0.83,30.9,34.2,High,55.5,17.7,Unprotected,22.7,1,0,0,1,0,0,0,0,0,0,1
5985,Caribbean,15.8,Silty,0.69,28.7,35.8,Medium,57.6,16.9,Unprotected,2.8,1,0,0,0,0,0,0,0,0,1,0
5986,Red Sea,28.7,Sandy,0.54,28.7,40.5,Low,61.5,5.9,MPA,71.2,1,1,0,0,0,0,0,0,0,0,0
5987,Red Sea,5.3,Sandy,0.81,26.9,39.8,High,69.3,17.2,Unprotected,41.8,0,1,0,1,0,0,0,0,0,0,0
5988,Coral Triangle,30.0,Rocky,0.74,29.6,34.5,Low,57.7,22.0,MPA,52.2,0,0,0,1,0,0,1,0,0,0,1
5989,Great Barrier Reef,24.5,Rocky,0.92,27.8,35.3,Low,71.9,7.7,MPA,33.9,0,0,0,1,1,1,0,0,0,0,0
5990,Caribbean,8.9,Coralline,0.59,28.6,34.9,High,60.7,6.0,Unprotected,28.6,0,0,0,0,0,0,0,1,0,1,0
5991,Coral Triangle,19.4,Sandy,0.66,28.6,33.9,Medium,54.6,23.2,Unprotected,10.4,1,0,0,0,0,0,1,0,0,0,0
5992,Red Sea,19.3,Rocky,0.56,29.8,39.7,Medium,72.4,14.8,MPA,46.0,1,1,0,0,0,0,0,0,0,0,0
5993,Coral Triangle,17.1,Rocky,0.91,27.9,34.9,Medium,69.3,6.8,Unprotected,37.2,1,0,0,0,0,0,1,0,0,0,0
5994,Red Sea,9.5,Rocky,0.51,28.3,40.4,High,60.5,10.7,Unprotected,17.6,0,1,1,1,0,0,0,0,0,0,0
5995,Great Barrier Reef,6.8,Rocky,0.71,24.0,34.9,High,66.0,24.6,Unprotected,88.8,0,0,0,1,0,1,0,0,0,0,0
5996,Coral Triangle,1.7,Rubble,0.91,28.6,35.0,High,76.7,22.3,Unprotected,9.4,0,0,0,1,0,0,0,0,0,0,1
5997,Coral Triangle,33.2,Rocky,0.74,29.7,34.4,Low,55.5,20.6,Unprotected,23.3,0,0,0,1,0,0,1,0,0,0,0
5998,Caribbean,21.4,Silty,0.72,26.1,35.1,Low,59.2,18.5,MPA,52.8,1,0,0,0,0,0,0,0,1,0,0
5999,Caribbean,3.4,Rubble,0.68,26.0,35.0,High,76.3,22.0,MPA,42.4,1,0,0,0,0,0,0,0,1,1,0
6000,Red Sea,13.6,Rubble,0.77,26.1,39.2,Medium,65.3,10.7,Unprotected,15.9,1,1,0,0,0,0,0,0,0,0,0
6001,Coral Triangle,35.3,Sandy,0.64,27.4,34.8,Low,59.5,23.3,Unprotected,21.1,0,0,0,0,0,0,1,0,0,0,1
6002,Caribbean,13.5,Silty,0.46,26.3,35.5,Medium,60.2,5.9,Unprotected,28.1,0,0,0,0,0,0,0,0,1,0,0
6003,Red Sea,18.4,Rubble,0.63,26.4,40.5,Medium,53.0,5.7,Unprotected,10.7,1,1,0,0,0,0,0,0,0,0,0
6004,Caribbean,22.9,Silty,0.47,28.2,35.3,Low,55.0,20.2,Unprotected,24.3,1,0,0,0,0,0,0,0,0,0,0
6005,Great Barrier Reef,29.8,Coralline,0.91,28.0,35.1,Low,65.4,24.8,MPA,147.4,1,0,0,1,1,0,0,0,0,0,0
6006,Caribbean,4.0,Silty,0.54,25.3,35.1,High,71.9,6.5,MPA,49.9,1,0,0,0,0,0,0,0,1,0,0
6007,Great Barrier Reef,28.1,Coralline,0.6,24.2,34.5,Low,60.1,20.0,MPA,116.1,0,0,0,1,1,1,0,0,0,0,0
6008,Great Barrier Reef,16.6,Rocky,0.69,24.8,34.3,Medium,62.7,24.0,MPA,142.9,1,0,0,0,1,0,0,0,0,0,0
6009,Great Barrier Reef,3.9,Sandy,0.9,26.0,34.4,High,67.1,15.8,Unprotected,25.0,0,0,0,1,0,1,0,0,0,0,0
6010,Great Barrier Reef,16.8,Coralline,0.63,25.9,34.9,Medium,59.9,14.1,MPA,63.0,1,0,0,1,1,0,0,0,0,0,0
6011,Coral Triangle,29.5,Sandy,0.62,29.5,34.5,Low,52.1,8.5,Unprotected,33.1,0,0,0,0,0,0,0,0,0,0,1
6012,Caribbean,7.7,Rubble,0.5,25.8,35.7,High,65.9,25.6,Unprotected,15.7,1,0,0,0,0,0,0,0,1,0,0
6013,Great Barrier Reef,22.6,Coralline,0.74,27.2,34.2,Low,51.9,23.3,Unprotected,99.7,0,0,0,1,0,0,0,0,0,0,0
6014,Caribbean,10.7,Coralline,0.4,25.7,34.6,Medium,49.6,16.3,Unprotected,20.0,1,0,0,0,0,0,0,1,0,0,0
6015,Caribbean,14.8,Silty,0.55,27.7,34.7,Medium,59.4,28.9,Unprotected,13.7,0,0,0,0,0,0,0,1,1,0,0
6016,Coral Triangle,10.3,Rocky,0.65,27.3,34.1,Medium,61.6,28.1,Unprotected,38.6,1,0,0,0,0,0,0,0,0,0,1
6017,Coral Triangle,18.1,Rubble,0.71,29.2,34.7,Medium,52.1,26.5,Unprotected,33.3,1,0,0,0,0,0,0,0,0,0,1
6018,Caribbean,6.5,Silty,0.56,26.1,35.9,High,67.2,24.3,MPA,12.7,0,0,0,0,0,0,0,1,1,1,0
6019,Red Sea,24.5,Rocky,0.54,29.1,39.0,Low,44.8,21.8,MPA,47.7,1,1,0,0,0,0,0,0,0,0,0
6020,Caribbean,20.9,Rubble,0.65,25.4,34.9,Low,55.2,5.6,Unprotected,12.2,1,0,0,0,0,0,0,0,0,0,0
6021,Caribbean,4.0,Rubble,0.45,26.9,35.0,High,63.2,17.2,Unprotected,1.5,0,0,0,0,0,0,0,1,0,1,0
6022,Caribbean,17.1,Silty,0.56,27.2,35.1,Medium,49.4,10.1,Unprotected,16.2,1,0,0,0,0,0,0,0,0,0,0
6023,Coral Triangle,17.8,Rocky,0.69,27.5,34.8,Medium,55.0,6.5,Unprotected,23.7,1,0,0,0,0,0,1,0,0,0,1
6024,Red Sea,28.8,Rocky,0.8,29.0,40.6,Low,59.3,11.5,Unprotected,44.2,0,1,1,0,0,0,0,0,0,0,0
6025,Red Sea,9.8,Sandy,0.68,28.0,41.0,High,71.0,6.1,Unprotected,48.3,0,1,0,1,0,0,0,0,0,0,0
6026,Coral Triangle,13.5,Sandy,0.9,29.5,34.8,Medium,54.1,22.8,Unprotected,16.3,1,0,0,1,0,0,0,0,0,0,1
6027,Coral Triangle,15.5,Rocky,0.54,30.8,33.8,Medium,42.8,7.8,Unprotected,3.6,0,0,0,1,0,0,1,0,0,0,0
6028,Caribbean,22.6,Rubble,0.49,27.4,35.5,Low,48.9,6.9,Unprotected,24.5,1,0,0,0,0,0,0,1,0,0,0
6029,Caribbean,14.9,Silty,0.52,25.2,34.6,Medium,66.8,18.8,Unprotected,23.1,1,0,0,0,0,0,0,0,0,0,0
6030,Coral Triangle,32.5,Rocky,0.79,30.1,34.9,Low,61.2,15.9,Unprotected,32.4,1,0,0,0,0,0,0,0,0,0,0
6031,Caribbean,7.2,Silty,0.58,28.2,36.0,High,60.4,13.2,Unprotected,3.7,0,0,0,0,0,0,0,1,1,0,0
6032,Great Barrier Reef,18.6,Sandy,0.6,26.8,35.2,Medium,64.6,7.2,MPA,102.6,1,0,0,1,0,0,0,0,0,0,0
6033,Caribbean,14.9,Rubble,0.53,27.7,35.8,Medium,56.2,19.8,MPA,25.1,1,0,0,0,0,0,0,1,0,1,0
6034,Red Sea,10.7,Sandy,0.61,28.0,40.2,Medium,54.6,20.8,Unprotected,40.8,1,0,0,0,0,0,0,0,0,0,0
6035,Red Sea,17.6,Rocky,0.57,29.0,40.3,Medium,58.0,20.2,Unprotected,2.9,1,0,0,1,0,0,0,0,0,0,0
6036,Coral Triangle,25.6,Rubble,0.94,29.2,34.8,Low,58.9,9.8,Unprotected,1.8,1,0,0,0,0,0,1,0,0,0,0
6037,Great Barrier Reef,13.3,Coralline,0.92,26.9,35.2,Medium,68.6,9.5,MPA,95.1,1,0,0,1,0,1,0,0,0,0,0
6038,Red Sea,22.1,Rocky,0.68,27.6,40.6,Low,54.7,11.3,Unprotected,37.5,0,0,1,1,0,0,0,0,0,0,0
6039,Coral Triangle,31.0,Sandy,0.92,28.5,34.2,Low,59.9,20.2,Unprotected,8.7,1,0,0,0,0,0,1,0,0,0,0
6040,Great Barrier Reef,28.1,Coralline,0.65,24.4,35.3,Low,49.4,17.9,MPA,41.2,1,0,0,1,0,0,0,0,0,0,0
6041,Caribbean,13.6,Rubble,0.74,26.0,35.2,Medium,54.8,21.5,Unprotected,19.0,1,0,0,0,0,0,0,0,1,0,0
6042,Red Sea,23.3,Sandy,0.53,28.3,39.6,Low,41.3,8.5,Unprotected,4.1,1,0,1,0,0,0,0,0,0,0,0
6043,Great Barrier Reef,34.9,Rocky,0.89,25.4,34.2,Low,65.8,9.4,MPA,84.8,1,0,0,0,0,0,0,0,0,0,0
6044,Great Barrier Reef,11.2,Rocky,0.83,24.6,34.1,Medium,57.4,14.2,MPA,147.9,1,0,0,0,1,1,0,0,0,0,0
6045,Great Barrier Reef,17.2,Rocky,0.87,27.2,34.9,Medium,69.2,15.7,MPA,63.7,1,0,0,0,1,0,0,0,0,0,0
6046,Red Sea,29.3,Sandy,0.9,28.2,39.5,Low,68.1,25.2,MPA,12.4,1,1,0,0,0,0,0,0,0,0,0
6047,Red Sea,23.6,Rocky,0.87,27.3,39.4,Low,54.4,17.7,Unprotected,23.3,0,0,1,1,0,0,0,0,0,0,0
6048,Coral Triangle,34.8,Sandy,0.64,29.4,34.5,Low,54.4,13.2,MPA,67.9,0,0,0,0,0,0,1,0,0,0,1
6049,Red Sea,22.8,Rubble,0.56,26.8,40.9,Low,64.9,25.3,MPA,13.8,1,0,0,0,0,0,0,0,0,0,0
6050,Caribbean,7.0,Rubble,0.64,27.2,34.6,High,69.1,10.2,MPA,55.7,0,0,0,0,0,0,0,1,1,0,0
6051,Caribbean,5.0,Silty,0.53,28.3,34.6,High,52.5,26.9,Unprotected,19.8,1,0,0,0,0,0,0,0,0,0,0
6052,Caribbean,23.1,Silty,0.66,27.0,34.8,Low,73.8,26.2,MPA,57.2,1,0,0,0,0,0,0,0,0,0,0
6053,Caribbean,6.5,Coralline,0.68,27.9,35.5,High,68.9,23.5,MPA,55.5,1,0,0,0,0,0,0,1,1,1,0
6054,Caribbean,18.8,Rubble,0.56,28.7,35.2,Medium,64.7,8.2,Unprotected,7.9,1,0,0,0,0,0,0,1,0,0,0
6055,Caribbean,18.6,Coralline,0.79,27.6,35.4,Medium,57.9,29.2,Unprotected,27.8,1,0,0,0,0,0,0,0,1,0,0
6056,Coral Triangle,5.3,Rocky,0.58,27.2,34.2,High,70.1,11.9,Unprotected,38.6,0,0,0,1,0,0,0,0,0,0,0
6057,Great Barrier Reef,20.2,Rocky,0.66,27.1,34.8,Low,61.3,19.1,MPA,46.7,1,0,0,1,0,0,0,0,0,0,0
6058,Red Sea,7.3,Rocky,0.77,26.8,39.6,High,70.4,22.5,Unprotected,16.1,0,1,0,1,0,0,0,0,0,0,0
6059,Caribbean,23.9,Rubble,0.52,27.4,35.3,Low,60.1,24.4,Unprotected,6.5,0,0,0,0,0,0,0,1,1,0,0
6060,Red Sea,12.6,Rubble,0.56,26.5,40.6,Medium,60.9,17.3,Unprotected,33.4,1,1,0,0,0,0,0,0,0,0,0
6061,Great Barrier Reef,3.8,Coralline,0.9,26.7,34.9,High,70.3,15.6,MPA,38.6,0,0,0,1,0,1,0,0,0,0,0
6062,Great Barrier Reef,28.2,Coralline,0.77,24.7,35.2,Low,54.9,11.1,Unprotected,37.8,1,0,0,0,0,1,0,0,0,0,0
6063,Great Barrier Reef,10.0,Sandy,0.69,27.1,34.4,Medium,58.5,8.4,MPA,92.1,1,0,0,1,0,0,0,0,0,0,0
6064,Caribbean,16.0,Coralline,0.71,28.8,34.6,Medium,55.1,13.1,Unprotected,19.2,0,0,0,0,0,0,0,0,0,1,0
6065,Great Barrier Reef,15.9,Sandy,0.6,24.5,34.9,Medium,69.3,6.8,MPA,141.9,1,0,0,0,1,1,0,0,0,0,0
6066,Caribbean,7.6,Rubble,0.74,27.7,35.0,High,76.5,6.0,MPA,29.2,0,0,0,0,0,0,0,1,1,1,0
6067,Great Barrier Reef,10.0,Rocky,0.61,27.1,34.9,Medium,62.9,23.9,MPA,33.7,0,0,0,1,0,1,0,0,0,0,0
6068,Red Sea,12.0,Rocky,0.84,28.9,39.7,Medium,60.6,15.1,Unprotected,19.0,1,1,0,1,0,0,0,0,0,0,0
6069,Coral Triangle,4.5,Rubble,0.66,31.0,34.3,High,63.5,12.8,Unprotected,5.1,1,0,0,1,0,0,0,0,0,0,1
6070,Coral Triangle,35.3,Rocky,0.6,27.8,33.8,Low,49.4,28.2,Unprotected,28.7,0,0,0,1,0,0,1,0,0,0,0
6071,Great Barrier Reef,25.7,Rocky,0.63,26.8,35.4,Low,60.9,9.2,MPA,37.7,1,0,0,1,1,0,0,0,0,0,0
6072,Caribbean,6.6,Silty,0.45,27.8,34.8,High,68.1,7.9,Unprotected,6.1,0,0,0,0,0,0,0,1,0,1,0
6073,Great Barrier Reef,2.6,Sandy,0.91,26.0,35.5,High,67.8,18.3,MPA,138.9,0,0,0,1,1,0,0,0,0,0,0
6074,Red Sea,20.2,Sandy,0.68,27.6,39.5,Low,74.1,25.9,MPA,40.7,1,1,1,0,0,0,0,0,0,0,0
6075,Red Sea,5.7,Sandy,0.78,26.5,40.0,High,67.0,18.5,Unprotected,3.4,0,0,0,1,0,0,0,0,0,0,0
6076,Coral Triangle,31.9,Rocky,0.67,28.5,33.5,Low,49.5,10.2,Unprotected,2.5,1,0,0,0,0,0,1,0,0,0,0
6077,Great Barrier Reef,20.4,Coralline,0.88,24.5,34.5,Low,56.5,30.0,MPA,101.3,1,0,0,1,1,0,0,0,0,0,0
6078,Great Barrier Reef,25.9,Rocky,0.79,26.3,34.1,Low,56.2,27.8,Unprotected,18.6,0,0,0,1,0,0,0,0,0,0,0
6079,Great Barrier Reef,31.3,Sandy,0.69,27.8,34.1,Low,55.7,27.6,MPA,45.4,1,0,0,0,0,0,0,0,0,0,0
6080,Great Barrier Reef,2.3,Coralline,0.79,25.9,34.8,High,72.7,10.6,MPA,76.4,0,0,0,1,0,0,0,0,0,0,0
6081,Great Barrier Reef,14.2,Sandy,0.78,26.1,34.3,Medium,60.1,5.3,Unprotected,96.4,0,0,0,1,1,1,0,0,0,0,0
6082,Coral Triangle,31.1,Sandy,0.79,29.8,34.3,Low,49.9,19.1,Unprotected,13.0,1,0,0,0,0,0,0,0,0,0,0
6083,Coral Triangle,8.8,Rubble,0.65,29.4,33.9,High,76.7,10.4,Unprotected,19.9,0,0,0,1,0,0,0,0,0,0,1
6084,Coral Triangle,10.8,Sandy,0.65,30.7,33.9,Medium,54.9,7.0,MPA,55.8,1,0,0,0,0,0,1,0,0,0,1
6085,Coral Triangle,23.0,Sandy,0.6,29.1,33.6,Low,54.1,26.9,Unprotected,21.0,0,0,0,0,0,0,0,0,0,0,1
6086,Caribbean,10.7,Silty,0.45,28.4,35.2,Medium,57.9,5.5,Unprotected,13.9,0,0,0,0,0,0,0,0,1,1,0
6087,Great Barrier Reef,21.8,Coralline,0.77,26.5,34.3,Low,49.7,27.7,Unprotected,36.3,0,0,0,0,0,1,0,0,0,0,0
6088,Coral Triangle,27.8,Rubble,0.55,29.3,34.8,Low,60.8,28.6,Unprotected,27.7,0,0,0,0,0,0,1,0,0,0,1
6089,Red Sea,24.0,Rocky,0.54,28.1,40.9,Low,58.3,23.7,Unprotected,13.1,0,1,0,0,0,0,0,0,0,0,0
6090,Red Sea,21.1,Rubble,0.75,26.3,39.3,Low,61.7,7.2,Unprotected,22.5,1,0,0,0,0,0,0,0,0,0,0
6091,Caribbean,9.5,Rubble,0.77,27.7,35.7,High,58.0,13.2,Unprotected,9.9,0,0,0,0,0,0,0,1,1,0,0
6092,Coral Triangle,31.6,Sandy,0.61,30.7,33.9,Low,50.3,19.6,Unprotected,6.4,1,0,0,0,0,0,0,0,0,0,0
6093,Great Barrier Reef,16.8,Sandy,0.87,26.2,34.7,Medium,66.4,16.5,MPA,95.9,1,0,0,0,1,0,0,0,0,0,0
6094,Red Sea,13.9,Rubble,0.66,27.0,39.6,Medium,61.8,24.2,MPA,74.4,1,0,0,0,0,0,0,0,0,0,0
6095,Great Barrier Reef,27.3,Sandy,0.76,25.2,34.1,Low,70.5,7.8,Unprotected,36.3,0,0,0,1,0,1,0,0,0,0,0
6096,Red Sea,13.5,Rocky,0.63,29.6,40.4,Medium,64.1,17.1,Unprotected,38.1,1,0,0,1,0,0,0,0,0,0,0
6097,Red Sea,16.5,Sandy,0.88,29.0,39.1,Medium,65.3,10.7,Unprotected,22.1,1,0,1,0,0,0,0,0,0,0,0
6098,Great Barrier Reef,4.0,Sandy,0.62,27.3,34.6,High,72.5,23.4,Unprotected,40.5,1,0,0,1,0,0,0,0,0,0,0
6099,Caribbean,3.8,Coralline,0.7,28.1,35.3,High,59.3,29.4,MPA,32.5,0,0,0,0,0,0,0,1,1,1,0
6100,Red Sea,26.5,Sandy,0.73,27.3,40.7,Low,55.1,16.6,Unprotected,48.4,0,0,1,0,0,0,0,0,0,0,0
6101,Great Barrier Reef,24.8,Coralline,0.78,25.8,34.7,Low,56.5,15.1,MPA,90.7,1,0,0,0,1,0,0,0,0,0,0
6102,Caribbean,15.9,Coralline,0.44,27.1,35.7,Medium,61.9,15.3,Unprotected,3.7,1,0,0,0,0,0,0,1,0,0,0
6103,Caribbean,6.8,Rubble,0.73,27.7,34.6,High,65.2,9.1,Unprotected,8.2,0,0,0,0,0,0,0,1,1,1,0
6104,Caribbean,23.4,Rubble,0.52,27.1,35.5,Low,51.4,5.5,Unprotected,21.3,0,0,0,0,0,0,0,1,1,0,0
6105,Great Barrier Reef,4.9,Coralline,0.72,27.3,34.8,High,76.9,15.7,MPA,52.7,0,0,0,1,1,1,0,0,0,0,0
6106,Red Sea,18.7,Rubble,0.64,26.2,39.3,Medium,63.2,25.5,MPA,39.1,1,0,1,0,0,0,0,0,0,0,0
6107,Great Barrier Reef,13.7,Sandy,0.64,24.5,34.1,Medium,55.7,25.4,Unprotected,61.5,1,0,0,0,0,1,0,0,0,0,0
6108,Red Sea,28.1,Rocky,0.65,27.9,39.9,Low,59.9,7.5,Unprotected,23.7,1,0,0,0,0,0,0,0,0,0,0
6109,Coral Triangle,16.3,Rubble,0.74,27.8,34.9,Medium,56.0,8.8,Unprotected,2.8,1,0,0,0,0,0,1,0,0,0,0
6110,Great Barrier Reef,22.9,Coralline,0.64,25.6,35.0,Low,60.7,26.2,MPA,50.6,1,0,0,0,1,1,0,0,0,0,0
6111,Red Sea,9.4,Sandy,0.8,27.6,39.7,High,71.2,18.1,Unprotected,10.9,1,1,1,0,0,0,0,0,0,0,0
6112,Red Sea,14.0,Rubble,0.79,29.9,39.6,Medium,63.3,9.6,Unprotected,49.6,1,0,1,0,0,0,0,0,0,0,0
6113,Red Sea,23.3,Rubble,0.87,27.1,39.7,Low,71.4,23.0,MPA,70.2,1,1,0,0,0,0,0,0,0,0,0
6114,Caribbean,12.7,Silty,0.75,27.8,35.3,Medium,63.1,6.7,Unprotected,6.7,1,0,0,0,0,0,0,0,0,1,0
6115,Caribbean,10.3,Rubble,0.75,27.6,35.1,Medium,77.4,22.6,MPA,36.0,1,0,0,0,0,0,0,0,1,0,0
6116,Caribbean,9.4,Rubble,0.72,25.2,35.8,High,68.4,25.7,Unprotected,6.5,0,0,0,0,0,0,0,0,1,0,0
6117,Red Sea,26.8,Sandy,0.79,28.3,39.2,Low,63.5,29.9,MPA,22.3,1,0,0,0,0,0,0,0,0,0,0
6118,Coral Triangle,29.4,Rubble,0.87,27.6,34.1,Low,59.8,27.3,Unprotected,21.8,1,0,0,0,0,0,1,0,0,0,0
6119,Coral Triangle,29.7,Rubble,0.94,27.1,34.3,Low,58.9,24.8,Unprotected,38.1,1,0,0,0,0,0,0,0,0,0,1
6120,Great Barrier Reef,17.2,Sandy,0.71,25.3,34.2,Medium,65.1,6.7,MPA,144.7,1,0,0,0,0,1,0,0,0,0,0
6121,Coral Triangle,28.0,Sandy,0.77,30.8,34.6,Low,54.3,28.1,Unprotected,20.1,1,0,0,0,0,0,1,0,0,0,0
6122,Red Sea,17.5,Sandy,0.61,28.3,40.7,Medium,59.5,25.0,MPA,66.1,1,1,0,0,0,0,0,0,0,0,0
6123,Red Sea,18.1,Rocky,0.82,28.3,40.9,Medium,67.7,18.5,MPA,16.6,1,0,0,0,0,0,0,0,0,0,0
6124,Great Barrier Reef,12.9,Coralline,0.95,28.0,34.1,Medium,65.7,16.1,MPA,58.5,1,0,0,1,0,1,0,0,0,0,0
6125,Coral Triangle,35.2,Rocky,0.88,28.9,33.6,Low,49.3,16.3,Unprotected,36.4,1,0,0,1,0,0,0,0,0,0,1
6126,Red Sea,9.0,Sandy,0.65,28.4,39.4,High,71.7,5.6,Unprotected,43.8,0,1,1,1,0,0,0,0,0,0,0
6127,Caribbean,11.1,Coralline,0.43,26.5,36.0,Medium,69.5,19.5,MPA,51.1,1,0,0,0,0,0,0,1,0,0,0
6128,Caribbean,7.5,Silty,0.58,28.1,35.6,High,65.4,20.8,Unprotected,2.8,0,0,0,0,0,0,0,1,1,0,0
6129,Caribbean,24.7,Silty,0.53,27.6,35.2,Low,57.7,16.4,Unprotected,4.7,1,0,0,0,0,0,0,0,1,0,0
6130,Red Sea,13.0,Rubble,0.73,29.7,40.0,Medium,56.8,16.9,Unprotected,18.1,0,1,1,0,0,0,0,0,0,0,0
6131,Great Barrier Reef,4.5,Rocky,0.76,25.7,34.1,High,68.3,7.3,MPA,66.1,0,0,0,1,0,0,0,0,0,0,0
6132,Coral Triangle,14.6,Rubble,0.85,27.1,33.5,Medium,63.8,7.4,Unprotected,1.6,1,0,0,0,0,0,1,0,0,0,0
6133,Great Barrier Reef,3.7,Rocky,0.7,28.4,34.1,High,76.6,19.1,MPA,140.7,0,0,0,1,0,1,0,0,0,0,0
6134,Caribbean,4.0,Silty,0.53,26.2,35.6,High,61.4,28.8,Unprotected,8.3,0,0,0,0,0,0,0,1,1,0,0
6135,Caribbean,7.0,Silty,0.66,25.7,34.9,High,58.8,27.6,Unprotected,8.5,0,0,0,0,0,0,0,1,0,1,0
6136,Coral Triangle,22.7,Rocky,0.81,29.3,34.2,Low,57.3,28.8,Unprotected,16.8,0,0,0,0,0,0,0,0,0,0,1
6137,Caribbean,3.3,Silty,0.55,25.2,34.8,High,72.3,25.0,MPA,6.0,1,0,0,0,0,0,0,1,0,1,0
6138,Red Sea,25.5,Rocky,0.51,26.4,40.8,Low,53.4,23.9,MPA,56.2,1,0,0,0,0,0,0,0,0,0,0
6139,Caribbean,9.4,Silty,0.43,28.3,35.9,High,68.3,24.5,MPA,18.4,0,0,0,0,0,0,0,0,0,1,0
6140,Red Sea,28.7,Rocky,0.54,28.3,39.3,Low,52.0,9.6,MPA,10.9,1,1,0,1,0,0,0,0,0,0,0
